obs,t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x11,y1,y2,temp,d_l_y1,d_l_y2,l_y1,l_y2,d_x4,d_x5,d2000,time,timesq
2007,2007,11.189538,183.613132,7.45713503911993,7030797.772,5.33490992916681,32.7712307356958,3.27260749678167,2.92452980081932,5319.9,2325.92676902765,163343.940996362,123.944001939746,7.72450916666667,0.254668254964539,0.249445536300616,12.0036133241856,4.81982986634417,501506.254,0.354595732587047,0,34,1156
2008,2008,11.386055,191.00122,7.87261215892308,7553070.247,5.7019150246668,33.9335217780791,3.40839319880989,3.38410252972864,5548.4,2446.36905458402,211374.593472678,159.569543369917,7.17978916666667,0.257773838761803,0.252649969445429,12.2613871629474,5.0724798357896,522272.475000001,0.367005095499991,0,35,1225
2009,2009,11.976438,229.062099,7.53934197810769,8001008.965,6.01010243303337,34.3439777632607,3.37943609929938,3.46831716117637,5447.5,2612.45662004417,234718.819022643,176.31328141959,7.29883916666667,0.104756398986334,0.0997825849774845,12.3661435619337,5.17226242076708,447938.717999999,0.308187408366567,0,36,1296
2010,2010,17.1938774,266.29302,7.54374241765656,8776040.416,6.56052000702696,33.4480767608878,3.35624101043007,3.50934153555749,5524.9,2943.58995443689,280057.899861734,209.356995646823,7.0611025,0.176608084061055,0.171778487174271,12.5427516459947,5.34404090794135,775031.450999999,0.550417573993593,0,37,1369
2011,2011,16.764869,292.160158,7.49686946249262,9733538.12,7.24151541889549,32.9571175428234,3.47067379417482,3.52243463333402,5707,3298.00391331196,347428.977887976,258.47870212552,6.90082583333333,0.215563896925273,0.210772392382774,12.75831554292,5.55481330032413,957497.704,0.680995411868533,0,38,1444
2012,2012,15.568753,318.475924,8.09908861763816,10028573.939,7.42475091638009,32.0530056362567,3.44509661560776,4.09182975952194,5825.2,3474.98806170157,392550.358541269,290.628423545855,6.58859916666667,0.122104567070551,0.117232255890839,12.8804201099906,5.67204555621497,295035.819,0.183235497484592,0,39,1521
2013,2013,16.0537331,352.795296,8.3861275770254,10258007.128,7.55721104480691,31.0723031505051,3.41374554738095,4.53414655121912,5894.2,3773.40538390134,440314.653159667,324.385693880613,7.22588583333333,0.114824761144243,0.109887664809129,12.9952448711348,5.78193322102409,229433.189000001,0.132460128426822,0,40,1600
2014,2014,17.822581,390.878784,8.59869527322669,10291926.878,7.54390764144927,31.7152270946499,3.3727396481439,5.10701715020901,5891.9,3927.04449998901,480255.22213701,352.023589272658,7.03626083333333,0.0868280832255408,0.0817649673077421,13.0820729543604,5.86369818833184,33919.75,-0.0133034033576331,0,41,1681
2015,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1764
2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1849
2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1936
2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2025
2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2116
